,Glabella,R3,Nasion
0,8.25,3.0,5.39
1,5.39,4.47,2.24
2,10.77,4.12,6.4
3,7.07,8.94,5.39
4,9.06,4.47,7.0
5,2.24,4.47,7.07
6,6.0,6.4,12.08
7,13.15,5.0,8.25
8,8.6,6.08,10.0
9,6.32,6.0,8.06
10,5.83,334.96,7.07
11,303.31,10.0,225.14
12,18.03,19.24,25.94
13,9.22,8.25,9.43
14,10.77,9.22,9.85
15,14.14,2.83,8.6
16,12.53,9.06,5.66
17,229.87,2.83,14.76
18,4.0,155.72,7.21
19,10.0,184.26,2.0
20,5.83,5.83,8.94
21,7.62,7.07,3.0
22,10.44,4.24,8.6
23,326.88,7.21,59.82
24,7.07,9.06,4.47
25,7.07,6.32,5.66
26,14.87,6.0,6.08
27,5.83,7.21,9.0
28,8.25,10.3,6.0
29,5.0,5.1,5.39
30,6.32,3.16,4.0
31,8.06,9.22,6.08
32,5.0,5.1,7.62
33,6.71,11.18,5.0
34,7.21,4.0,5.1
35,3.61,5.39,8.49
36,245.4,20.12,24.6
37,7.62,8.25,6.32
38,5.66,6.0,1.0
39,7.62,8.6,8.0
40,7.07,6.71,8.06
41,4.24,5.0,8.6
42,7.21,9.49,7.28
43,12.65,3.16,15.81
44,7.62,4.47,7.0
45,5.0,6.32,7.07
46,7.28,8.94,5.0
47,7.07,8.49,5.83
48,7.0,11.05,2.0
49,7.0,5.39,3.16
